CustomerID,Recency,Frequency,Monetary,AOV
12346.0,325,2,0.0,0.0
12347.0,1,7,4310.0,615.7142857142857
12348.0,74,4,1797.24,449.31
12349.0,18,1,1757.55,1757.55
12350.0,309,1,334.4,334.4
12352.0,35,11,1545.41,140.4918181818182
12353.0,203,1,89.0,89.0
12354.0,231,1,1079.4,1079.4
12355.0,213,1,459.4,459.4
12356.0,22,3,2811.43,937.1433333333333
12357.0,32,1,6207.67,6207.67
12358.0,1,2,1168.06,584.03
12359.0,7,6,6245.53,1040.9216666666666
12360.0,51,3,2662.06,887.3533333333334
12361.0,286,1,189.9,189.9
12362.0,2,13,5154.58,396.50615384615384
12363.0,109,2,552.0,276.0
12364.0,7,4,1313.1,328.275
12365.0,290,3,320.69,106.89666666666666
12367.0,3,1,168.9,168.9
12370.0,50,4,3545.69,886.4225
12371.0,44,2,1887.96,943.98
12372.0,71,3,1298.04,432.68
12373.0,310,1,364.6,364.6
12374.0,24,1,742.9300000000001,742.9300000000001
12375.0,2,3,455.42,151.80666666666667
12377.0,314,2,1628.12,814.06
12378.0,129,1,4008.62,4008.62
12379.0,81,3,850.29,283.43
12380.0,21,5,2720.56,544.112
12381.0,4,6,1803.96,300.66
12383.0,184,6,1839.31,306.5516666666667
12384.0,28,3,566.16,188.72
12386.0,337,2,401.9,200.95
12388.0,15,6,2780.66,463.4433333333333
12390.0,79,1,549.84,549.84
12391.0,21,1,460.89,460.89
12393.0,71,4,1582.6000000000001,395.65000000000003
12394.0,63,2,1272.48,636.24
12395.0,15,15,2998.28,199.88533333333334
12397.0,35,2,2409.9,1204.95
12398.0,45,1,1635.6599999999999,1635.6599999999999
12399.0,118,4,1108.65,277.1625
12401.0,302,1,84.3,84.3
12402.0,322,1,225.6,225.6
12403.0,49,2,409.7,204.85
12405.0,148,1,1710.39,1710.39
12406.0,21,3,3280.75,1093.5833333333333
12407.0,49,5,1708.1200000000001,341.624
12408.0,32,9,2842.57,315.8411111111111
12409.0,78,7,11056.93,1579.5614285714287
12410.0,300,3,681.0799999999999,227.02666666666664
12412.0,74,3,1226.88,408.96000000000004
12413.0,66,5,694.15,138.82999999999998
12414.0,216,3,562.41,187.47
12415.0,23,26,123725.45,4758.671153846154
12417.0,2,12,3578.8,298.23333333333335
